,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
357,4830000,4815,2,1,1,1,0,0,0,1,0,1,0,1,0
245,4340000,4500,3,2,3,1,0,0,1,0,1,0,1,0,0
342,5880000,6500,3,2,3,1,0,0,0,1,0,0,0,0,1
23,1750000,2910,3,1,1,0,0,0,0,0,0,0,1,0,0
464,1820000,3000,2,1,1,1,0,1,0,0,2,0,0,0,1
462,2660000,2800,3,1,1,1,0,0,0,0,0,0,0,0,1
25,5652500,6660,4,2,2,1,1,1,0,0,1,1,0,1,0
510,3010000,4600,2,1,1,1,0,0,0,0,0,0,1,0,0
354,3430000,4000,2,1,1,1,0,0,0,0,0,0,0,0,1
237,4900000,12900,3,1,1,1,0,0,0,0,2,0,1,0,0
95,4375000,3900,3,1,2,1,0,0,0,0,0,0,0,0,1
71,6650000,4260,4,2,2,1,0,0,1,0,0,0,0,1,0
217,3430000,3185,2,1,1,1,0,0,0,0,2,0,0,0,1
85,4550000,2550,3,1,2,1,0,1,0,0,0,0,1,0,0
418,4515000,3450,3,1,2,1,0,1,0,0,1,0,0,1,0
40,4193000,3450,3,1,2,1,0,0,0,0,1,0,0,1,0
15,2450000,3240,2,1,1,0,1,0,0,0,1,0,0,0,1
147,3010000,3240,3,1,2,1,0,0,0,0,2,0,0,1,0
511,2870000,3040,2,1,1,0,0,0,0,0,0,0,0,0,1
253,4515000,3520,2,1,2,1,0,0,0,0,0,1,1,0,0
10,6930000,8880,3,2,2,1,0,1,0,1,1,0,1,0,0
175,2730000,6800,2,1,1,1,0,0,0,0,0,0,0,0,1
450,5810000,4800,3,1,3,1,0,0,0,1,0,0,0,0,1
528,2660000,3630,3,3,2,0,1,0,0,0,0,0,0,0,1
14,1750000,3850,3,1,2,1,0,0,0,0,0,0,0,0,1
526,3045000,3800,2,1,1,1,0,0,0,0,0,0,0,0,1
127,4515000,9860,3,1,1,1,0,0,0,0,0,0,0,1,0
413,2800000,3960,3,1,1,1,0,0,0,0,0,0,1,0,0
458,4543000,4100,2,2,1,1,1,1,0,0,0,0,0,1,0
74,3080000,3090,2,1,1,1,1,1,0,0,0,0,0,0,1
270,3920000,3000,3,1,2,1,0,0,0,0,0,0,0,1,0
289,5383000,6450,3,2,1,1,1,1,1,0,0,0,0,0,1
137,5460000,6600,4,2,2,1,1,1,0,0,0,1,0,1,0
477,6107500,3240,4,1,3,1,0,0,0,0,1,0,0,1,0
157,4795000,8100,4,1,4,1,0,1,0,1,2,0,0,1,0
460,3850000,7152,3,1,2,1,0,0,0,1,0,0,1,0,0
534,3500000,7350,2,1,1,1,0,0,0,0,1,0,0,1,0
525,3360000,3500,4,1,2,1,0,0,0,1,2,0,0,0,1
187,2380000,3264,2,1,1,1,0,0,0,0,0,0,0,0,1
514,4270000,4360,4,1,2,1,0,0,0,0,0,0,1,0,0
279,9800000,5750,3,2,4,1,1,0,0,1,1,1,0,0,1
68,5530000,3650,3,2,2,1,0,0,0,0,2,0,0,1,0
124,2485000,3000,3,1,2,0,0,0,0,0,0,0,0,1,0
228,3640000,4130,3,2,2,1,0,0,0,0,2,0,0,1,0
340,3325000,4040,2,1,1,1,0,0,0,0,1,0,0,0,1
351,3605000,4500,2,1,1,1,0,0,0,0,0,0,0,1,0
416,4200000,2145,3,1,3,1,0,0,0,0,1,1,0,0,1
165,7000000,11175,3,1,1,1,0,1,0,1,1,1,1,0,0
207,7420000,6325,3,1,4,1,0,0,0,1,1,0,0,0,1
81,3150000,3450,3,1,2,1,0,1,0,0,0,0,0,1,0
341,4095000,5600,2,1,1,1,0,0,0,1,0,0,0,1,0
164,3633000,3520,3,1,1,1,0,0,0,0,2,1,0,0,1
542,3087000,8100,2,1,1,1,0,0,0,0,1,0,0,0,1
