,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
103,3500000,5880,2,1,1,1,0,0,0,0,0,0,0,0,1
41,3640000,3180,3,1,2,0,0,1,0,0,0,0,0,1,0
81,3150000,3450,3,1,2,1,0,1,0,0,0,0,0,1,0
119,4620000,5680,3,1,2,1,1,0,0,1,1,0,0,1,0
416,4200000,2145,3,1,3,1,0,0,0,0,1,1,0,0,1
351,3605000,4500,2,1,1,1,0,0,0,0,0,0,0,1,0
104,3395000,4785,3,1,2,1,1,1,0,1,1,0,1,0,0
121,6650000,6000,3,2,3,1,1,0,0,1,0,0,1,0,0
329,5810000,5828,4,1,4,1,1,0,0,0,0,0,0,1,0
271,3465000,2145,3,1,3,1,0,0,0,0,0,1,1,0,0
421,3500000,3036,3,1,2,1,0,1,0,0,0,0,0,1,0
373,3500000,3120,3,1,2,1,0,0,0,0,1,0,0,0,1
118,2940000,3150,3,1,2,0,0,0,0,0,0,0,0,0,1
320,2520000,2880,3,1,1,0,0,0,0,0,0,0,0,0,1
456,2450000,3210,3,1,2,1,0,1,0,0,0,0,0,0,1
439,7350000,5150,3,2,4,1,0,0,0,1,2,0,0,1,0
168,4025000,3460,3,2,1,1,0,1,0,1,1,0,1,0,0
59,5600000,6360,3,1,3,1,0,0,0,0,0,1,0,1,0
267,6510000,6670,3,1,3,1,0,1,0,0,0,1,0,0,1
360,2520000,3180,3,1,1,0,0,0,0,0,0,0,0,0,1
10,6930000,8880,3,2,2,1,0,1,0,1,1,0,1,0,0
232,2408000,3635,2,1,1,0,0,0,0,0,0,0,0,0,1
75,11410000,7420,4,1,2,1,1,1,0,1,2,0,1,0,0
129,4767000,3420,4,2,2,1,0,0,0,0,0,0,0,1,0
21,6615000,4000,3,2,2,1,0,1,0,1,1,0,0,1,0
359,8400000,7950,5,2,2,1,0,1,1,0,2,0,0,0,1
311,3150000,4095,2,1,1,1,0,0,0,0,2,0,0,1,0
138,4403000,4920,3,1,2,1,0,0,0,0,1,0,0,1,0
325,6860000,6000,3,1,1,1,0,0,0,1,1,0,1,0,0
409,7490000,6600,3,1,4,1,0,0,0,1,3,1,1,0,0
146,4473000,3510,3,1,2,1,0,0,0,0,0,0,0,1,0
223,7700000,6000,4,2,4,1,0,0,0,0,2,0,0,1,0
249,5215000,3180,3,2,2,1,0,0,0,0,2,0,0,1,0
22,8680000,7155,3,2,1,1,1,1,0,1,2,0,0,0,1
483,3773000,6930,4,1,2,0,0,0,0,0,1,0,1,0,0
239,2870000,6000,2,1,1,1,0,0,0,0,0,0,0,1,0
60,4893000,4995,4,2,1,1,0,1,0,0,0,0,0,1,0
335,5740000,6360,3,1,1,1,1,1,0,1,2,1,1,0,0
58,5250000,10269,3,1,1,1,0,0,0,0,1,1,0,1,0
156,4200000,5800,3,1,1,1,0,0,1,0,2,0,0,1,0
199,4235000,2787,3,1,1,1,0,1,0,0,0,1,1,0,0
496,4480000,4000,3,1,2,1,0,0,0,0,2,0,1,0,0
262,4410000,4900,2,1,2,1,0,1,0,0,0,0,0,1,0
13,5460000,6100,3,1,3,1,1,0,0,1,0,1,0,1,0
321,3885000,3180,4,2,2,1,0,0,0,0,0,0,1,0,0
535,6090000,6615,4,2,2,1,1,0,1,0,1,0,0,1,0
301,10850000,7500,3,3,1,1,0,1,0,1,2,1,0,1,0
53,5740000,5800,3,2,4,1,0,0,0,1,0,0,0,0,1
57,4900000,4095,3,1,2,0,1,1,0,1,0,0,0,1,0
414,1890000,3649,2,1,1,1,0,0,0,0,0,0,0,0,1
376,3500000,5900,2,1,1,1,0,0,0,0,1,0,1,0,0
504,4340000,6450,4,1,2,1,0,0,0,0,0,0,0,1,0
292,3710000,3584,2,1,1,1,0,0,1,0,0,0,0,1,0
332,6195000,6350,3,2,3,1,1,0,0,1,0,0,1,0,0
282,3465000,3060,3,1,1,1,0,0,0,0,0,0,0,0,1
537,4025000,3630,3,2,2,1,0,0,1,0,2,0,0,1,0
515,3430000,2145,3,1,3,1,0,0,0,0,0,1,1,0,0
314,3850000,5300,5,2,2,1,0,0,0,0,0,0,0,1,0
369,4165000,4080,3,1,2,1,0,0,0,0,2,0,0,1,0
458,4543000,4100,2,2,1,1,1,1,0,0,0,0,0,1,0
89,4060000,4992,3,2,2,1,0,0,0,0,2,0,0,0,1
440,7343000,11440,4,1,2,1,0,1,0,0,1,1,0,1,0
397,4123000,6060,2,1,1,1,0,1,0,0,1,0,0,1,0
274,6440000,8580,5,3,2,1,0,0,0,0,2,0,1,0,0
17,5250000,4260,4,1,2,1,0,1,0,1,0,0,1,0,0
74,3080000,3090,2,1,1,1,1,1,0,0,0,0,0,0,1
426,9681000,6000,4,3,2,1,1,1,1,0,2,0,0,1,0
476,6125000,6420,3,1,3,1,0,1,0,0,0,1,0,0,1
235,4382000,4950,4,1,2,1,0,0,0,1,0,0,0,1,0
323,2275000,3970,1,1,1,0,0,0,0,0,0,0,0,0,1
543,2100000,3360,2,1,1,1,0,0,0,0,1,0,0,0,1
64,3395000,3640,2,1,1,1,0,0,0,0,0,0,1,0,0
287,3570000,4500,2,1,1,0,0,0,0,0,0,0,1,0,0
23,1750000,2910,3,1,1,0,0,0,0,0,0,0,1,0,0
7,3710000,4050,2,1,1,1,0,0,0,0,0,0,1,0,0
114,5600000,6600,4,2,1,1,0,1,0,0,0,1,0,1,0
70,8120000,6840,5,1,2,1,1,1,0,1,1,0,1,0,0
181,6020000,6900,3,2,1,1,1,1,0,0,0,1,0,0,1
133,3010000,5076,3,1,1,0,0,0,0,0,0,0,0,0,1
2,5600000,5500,3,2,2,1,0,0,0,0,1,0,0,1,0
418,4515000,3450,3,1,2,1,0,1,0,0,1,0,0,1,0
117,4200000,5040,3,1,2,1,0,1,0,1,0,0,0,0,1
378,5215000,7200,3,1,2,1,1,1,0,0,1,1,1,0,0
200,4760000,6321,3,1,2,1,0,1,0,1,1,0,1,0,0
123,2870000,5400,4,1,2,1,0,0,0,0,0,0,0,0,1
72,4900000,6720,3,1,1,1,0,0,0,0,0,0,0,0,1
77,2653000,4000,3,1,2,1,0,0,0,1,0,0,0,0,1
385,8295000,4880,4,2,2,1,0,0,0,1,1,1,1,0,0
539,4900000,4770,3,1,1,1,1,1,0,0,0,0,0,1,0
225,3493000,4900,3,1,2,0,0,0,0,0,0,0,0,0,1
40,4193000,3450,3,1,2,1,0,0,0,0,1,0,0,1,0
12,3990000,6480,3,1,2,0,0,0,0,1,1,0,0,1,0
15,2450000,3240,2,1,1,0,1,0,0,0,1,0,0,0,1
304,2275000,1836,2,1,1,0,0,1,0,0,0,0,0,1,0
5,5495000,7980,3,1,1,1,0,0,0,0,2,0,0,1,0
270,3920000,3000,3,1,2,1,0,0,0,0,0,0,0,1,0
281,5243000,6050,3,1,1,1,0,1,0,0,0,1,0,1,0
318,3570000,3640,2,1,1,1,0,0,0,0,0,0,0,0,1
401,3780000,4820,3,1,2,1,0,0,0,0,0,0,0,1,0
226,4095000,3680,3,2,2,1,0,0,0,0,0,0,0,1,0
245,4340000,4500,3,2,3,1,0,0,1,0,1,0,1,0,0
509,5250000,5300,4,2,1,1,0,0,0,1,0,1,0,0,1
268,4900000,5400,4,1,2,1,0,0,0,0,0,0,0,1,0
489,12250000,9960,3,2,2,1,0,1,0,0,2,1,0,1,0
466,7350000,6000,3,2,2,1,1,0,0,1,1,0,0,1,0
428,5600000,4800,5,2,3,0,0,1,1,0,0,0,0,0,1
484,8463000,6000,3,2,4,1,1,1,0,1,0,1,0,1,0
38,3780000,3420,2,1,2,1,0,0,1,0,1,0,0,1,0
500,3220000,4370,3,1,2,1,0,0,0,0,0,0,0,0,1
487,7840000,6360,3,2,4,1,0,0,0,1,0,1,1,0,0
36,4270000,7770,2,1,1,1,0,0,0,0,1,0,1,0,0
158,3535000,3850,3,1,1,1,0,0,0,0,2,0,0,0,1
419,7140000,6000,3,2,2,1,1,0,0,0,1,0,0,1,0
266,8400000,8875,3,1,1,1,0,0,0,0,1,0,0,1,0
16,2380000,2787,4,2,2,1,0,0,0,0,0,0,1,0,0
517,4060000,3000,4,1,3,1,0,1,0,1,2,0,0,1,0
169,4060000,4320,3,1,2,1,0,0,0,0,2,1,1,0,0
94,3150000,3450,1,1,1,1,0,0,0,0,0,0,1,0,0
341,4095000,5600,2,1,1,1,0,0,0,1,0,0,0,1,0
366,5250000,8400,3,1,2,1,1,1,0,1,2,1,0,0,1
445,5866000,4800,3,1,1,1,1,1,0,0,0,0,0,0,1
197,8575000,8800,3,2,2,1,0,0,0,1,2,0,1,0,0
142,3129000,5495,3,1,1,1,0,1,0,0,0,0,0,0,1
513,5600000,10500,4,2,2,1,0,0,0,0,1,0,0,1,0
183,4550000,3520,3,1,1,1,0,0,0,0,0,1,0,1,0
357,4830000,4815,2,1,1,1,0,0,0,1,0,1,0,1,0
128,3850000,4080,2,1,1,1,0,0,0,0,0,0,0,1,0
276,3640000,4280,2,1,1,1,0,0,0,1,2,0,0,1,0
519,5460000,3150,3,2,1,1,1,1,0,1,0,0,1,0,0
261,7420000,7440,3,2,1,1,1,1,0,1,0,1,0,1,0
388,3920000,7260,3,2,1,1,1,1,0,0,3,0,1,0,0
255,3220000,4320,3,1,1,0,0,0,0,0,1,0,0,0,1
177,4130000,5985,3,1,1,1,0,1,0,0,0,0,0,1,0
193,5950000,6254,4,2,1,1,0,1,0,0,1,1,0,1,0
497,2485000,4400,3,1,2,1,0,0,0,0,0,0,0,0,1
413,2800000,3960,3,1,1,1,0,0,0,0,0,0,1,0,0
499,5250000,9800,4,2,2,1,1,0,0,0,2,0,0,1,0
25,5652500,6660,4,2,2,1,1,1,0,0,1,1,0,1,0
334,3815000,3150,2,2,1,0,0,1,0,0,0,0,0,1,0
415,2870000,3630,2,1,1,1,0,0,0,0,0,0,0,0,1
109,6300000,6400,3,1,1,1,1,1,0,1,1,1,0,1,0
348,5145000,7980,3,1,1,1,0,0,0,0,1,1,0,1,0
124,2485000,3000,3,1,2,0,0,0,0,0,0,0,0,1,0
134,3990000,4100,4,1,1,0,0,1,0,0,0,0,0,0,1
242,5040000,10700,3,1,2,1,1,1,0,0,0,0,0,1,0
218,2695000,4000,2,1,1,1,0,0,0,0,0,0,0,0,1
423,5565000,4400,4,1,2,1,0,0,0,1,2,1,0,1,0
322,7560000,6000,3,2,3,1,0,0,0,1,0,0,0,1,0
151,7070000,6240,4,2,2,1,0,0,0,1,1,0,1,0,0
352,2800000,2650,3,1,2,1,0,1,0,0,1,0,0,0,1
353,3003000,8050,2,1,1,1,0,0,0,0,0,0,0,0,1
434,1750000,3620,2,1,1,1,0,0,0,0,0,0,0,0,1
29,4830000,6862,3,1,2,1,0,0,0,1,2,1,1,0,0
374,5250000,5500,3,2,1,1,0,1,0,0,0,0,0,1,0
309,9240000,3500,4,2,2,1,0,0,1,0,2,0,1,0,0
83,3570000,3150,3,1,2,1,0,1,0,0,0,0,1,0,0
44,4900000,5800,2,1,1,1,1,1,0,1,0,0,0,1,0
384,3836000,3350,3,1,2,1,0,0,0,0,0,0,0,0,1
493,4165000,4840,3,1,2,1,0,0,0,0,1,0,0,1,0
293,4550000,3760,3,1,1,1,0,0,0,0,2,0,0,1,0
194,5943000,15600,3,1,1,1,0,0,0,1,2,0,0,1,0
488,8080940,7000,3,2,4,1,0,0,0,1,2,0,1,0,0
532,2450000,3500,2,1,1,1,1,0,0,0,0,0,0,0,1
457,6090000,8372,3,1,3,1,0,0,0,1,2,0,0,0,1
135,5523000,6900,3,1,1,1,1,1,0,0,0,1,0,1,0
294,2653000,3185,2,1,1,1,0,0,0,1,0,0,0,0,1
215,5285000,4600,2,2,1,1,0,0,0,1,2,0,0,1,0
96,3990000,3960,3,1,2,1,0,0,0,0,0,0,1,0,0
209,10150000,16200,5,3,2,1,0,0,0,0,0,0,0,0,1
486,3500000,3990,3,1,2,1,0,0,0,0,0,0,0,1,0
18,6300000,6000,4,2,4,1,0,0,0,0,1,0,0,1,0
326,4760000,9166,2,1,1,1,0,1,0,1,2,0,0,1,0
86,4193000,8250,3,1,1,1,0,1,0,0,3,0,0,1,0
460,3850000,7152,3,1,2,1,0,0,0,1,0,0,1,0,0
367,7245000,9000,4,2,4,1,1,0,0,1,1,1,1,0,0
437,4480000,4040,3,1,2,1,0,0,0,0,1,0,0,1,0
27,3500000,7424,3,1,1,0,0,0,0,0,0,0,0,0,1
529,5600000,10500,2,1,1,1,0,0,0,0,1,0,0,1,0
62,4165000,4046,3,1,2,1,0,1,0,0,1,0,0,1,0
82,5600000,5136,3,1,2,1,1,1,0,1,0,1,0,0,1
39,2240000,1950,3,1,1,0,0,0,1,0,0,0,0,0,1
305,4340000,4075,3,1,1,1,1,1,0,0,2,0,0,1,0
298,4550000,3640,3,1,2,1,0,0,0,1,0,0,1,0,0
174,7525000,6000,3,2,4,1,0,0,0,1,1,0,1,0,0
340,3325000,4040,2,1,1,1,0,0,0,0,1,0,0,0,1
173,4025000,5400,3,1,1,1,0,0,0,0,3,0,0,1,0
30,4550000,5360,3,1,2,1,0,0,0,0,2,1,0,0,1
136,3290000,5880,3,1,1,1,0,0,0,0,1,0,0,0,1
4,8855000,6420,3,2,2,1,0,0,0,1,1,1,0,1,0
228,3640000,4130,3,2,2,1,0,0,0,0,2,0,0,1,0
97,8400000,5500,4,2,2,1,0,1,0,1,1,1,0,1,0
449,3430000,3850,3,1,1,1,0,0,0,0,0,0,0,0,1
429,3220000,3120,3,1,2,0,0,0,0,0,0,0,1,0,0
147,3010000,3240,3,1,2,1,0,0,0,0,2,0,0,1,0
224,5215000,4500,4,2,1,0,0,1,0,1,2,0,0,1,0
330,10150000,8580,4,3,4,1,0,0,0,1,2,1,0,1,0
148,6160000,5450,4,2,1,1,0,1,0,1,0,1,0,1,0
291,6020000,8000,3,1,1,1,1,1,0,1,2,1,0,1,0
88,3780000,2856,3,1,3,1,0,0,0,0,0,1,1,0,0
61,4585000,4000,3,1,2,1,0,0,0,0,1,0,1,0,0
394,3010000,3090,3,1,2,0,0,0,0,0,0,0,0,1,0
100,3640000,2275,3,1,3,1,0,0,1,1,0,1,0,1,0
455,3640000,2850,3,2,2,0,0,1,0,0,0,1,0,0,1
37,3118850,2398,3,1,1,1,0,0,0,0,0,1,0,1,0
28,3500000,12944,3,1,1,1,0,0,0,0,0,0,0,0,1
377,5250000,8520,3,1,1,1,0,0,0,1,2,0,1,0,0
324,4403000,4880,3,1,1,1,0,0,0,0,2,1,0,0,1
347,3990000,4050,2,1,2,1,1,1,0,0,0,1,0,0,1
145,6615000,10500,3,2,1,1,0,1,0,1,1,1,1,0,0
231,12250000,8960,4,4,4,1,0,0,0,1,3,0,1,0,0
542,3087000,8100,2,1,1,1,0,0,0,0,1,0,0,0,1
403,5950000,7231,3,1,2,1,1,1,0,1,0,1,0,1,0
279,9800000,5750,3,2,4,1,1,0,0,1,1,1,0,0,1
155,7035000,6360,4,2,3,1,0,0,0,1,2,1,1,0,0
386,2345000,3640,2,1,1,1,0,0,0,0,0,0,0,0,1
510,3010000,4600,2,1,1,1,0,0,0,0,0,0,1,0,0
316,2310000,3180,2,1,1,1,0,0,0,0,0,0,0,0,1
420,4760000,10240,2,1,1,1,0,0,0,1,2,1,0,0,1
451,4795000,7000,3,1,2,1,0,1,0,0,0,0,0,0,1
286,2940000,3600,3,1,2,0,0,0,0,0,1,0,0,0,1
115,4403000,2880,3,1,2,1,0,0,0,0,0,1,0,1,0
198,6895000,7700,3,2,1,1,0,0,0,0,2,0,0,0,1
