,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
336,4900000,6300,3,1,1,1,0,0,0,1,2,0,0,1,0
39,2240000,1950,3,1,1,0,0,0,1,0,0,0,0,0,1
445,5866000,4800,3,1,1,1,1,1,0,0,0,0,0,0,1
256,6230000,6600,3,2,1,1,0,1,0,1,0,1,0,0,1
97,8400000,5500,4,2,2,1,0,1,0,1,1,1,0,1,0
38,3780000,3420,2,1,2,1,0,0,1,0,1,0,0,1,0
291,6020000,8000,3,1,1,1,1,1,0,1,2,1,0,1,0
294,2653000,3185,2,1,1,1,0,0,0,1,0,0,0,0,1
201,7560000,6000,4,2,4,1,0,0,0,1,1,0,1,0,0
140,6300000,9000,3,1,1,1,0,1,0,0,1,1,1,0,0
210,5950000,6525,3,2,4,1,0,0,0,0,1,0,1,0,0
369,4165000,4080,3,1,2,1,0,0,0,0,2,0,0,1,0
206,2604000,2910,2,1,1,0,0,0,0,0,0,0,0,0,1
362,2835000,3300,3,1,2,0,0,0,0,0,1,0,0,1,0
429,3220000,3120,3,1,2,0,0,0,0,0,0,0,1,0,0
492,3234000,3640,4,1,2,1,0,1,0,0,0,0,0,0,1
491,4130000,4632,4,1,2,1,0,0,0,1,0,0,0,1,0
298,4550000,3640,3,1,2,1,0,0,0,1,0,0,1,0,0
476,6125000,6420,3,1,3,1,0,1,0,0,0,1,0,0,1
346,7700000,6480,3,2,4,1,0,0,0,1,2,0,0,0,1
350,4900000,4120,2,1,1,1,0,1,0,0,1,0,0,1,0
327,5005000,8150,3,2,1,1,1,1,0,0,0,0,0,1,0
465,5110000,3000,3,1,2,1,0,1,0,0,0,0,0,0,1
51,4935000,5948,3,1,2,1,0,0,0,1,0,0,0,1,0
470,8400000,7000,3,1,4,1,0,0,0,1,2,0,0,1,0
469,6475000,7410,3,1,1,1,1,1,0,1,2,1,0,0,1
200,4760000,6321,3,1,2,1,0,1,0,1,1,0,1,0,0
381,8645000,4560,3,2,2,1,1,1,0,1,1,0,1,0,0
255,3220000,4320,3,1,1,0,0,0,0,0,1,0,0,0,1
513,5600000,10500,4,2,2,1,0,0,0,0,1,0,0,1,0
479,5950000,6540,3,1,1,1,1,1,0,0,2,1,1,0,0
499,5250000,9800,4,2,2,1,1,0,0,0,2,0,0,1,0
316,2310000,3180,2,1,1,1,0,0,0,0,0,0,0,0,1
254,5040000,6600,3,1,1,1,1,1,0,0,0,1,1,0,0
487,7840000,6360,3,2,4,1,0,0,0,1,0,1,1,0,0
131,6475000,3960,3,1,1,1,0,1,0,0,2,0,0,1,0
123,2870000,5400,4,1,2,1,0,0,0,0,0,0,0,0,1
423,5565000,4400,4,1,2,1,0,0,0,1,2,1,0,1,0
344,8890000,4600,3,2,2,1,1,0,0,1,2,0,1,0,0
320,2520000,2880,3,1,1,0,0,0,0,0,0,0,0,0,1
132,6195000,5500,3,2,1,1,1,1,0,0,2,1,1,0,0
