,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
31,4200000,4410,2,1,1,0,0,0,0,0,1,0
307,5425000,6825,3,1,1,1,1,1,0,1,0,1
254,8680000,7155,3,2,1,1,1,1,0,1,2,0
147,3990000,4050,2,1,2,1,1,1,0,0,0,1
106,3010000,3240,3,1,2,1,0,0,0,0,2,0
248,3010000,3750,3,1,2,1,0,0,0,0,0,0
23,4235000,6650,3,1,2,1,1,0,0,0,0,0
382,4620000,5010,3,1,2,1,0,1,0,0,0,0
440,4620000,5680,3,1,2,1,1,0,0,1,1,0
333,4403000,4920,3,1,2,1,0,0,0,0,1,0
71,5243000,6050,3,1,1,1,0,1,0,0,0,1
461,2604000,2910,2,1,1,0,0,0,0,0,0,0
209,6300000,4100,3,2,3,1,0,0,0,1,2,0
456,3003000,8050,2,1,1,1,0,0,0,0,0,0
309,6790000,4000,3,2,2,1,0,1,0,1,0,1
272,6650000,4260,4,2,2,1,0,0,1,0,0,0
434,3815000,3150,2,2,1,0,0,1,0,0,0,0
92,4550000,5360,3,1,2,1,0,0,0,0,2,1
56,8960000,8500,3,2,4,1,0,0,0,1,7,0
445,4410000,3968,3,1,2,0,0,0,0,0,0,0
497,3465000,2145,3,1,3,1,0,0,0,0,0,1
77,5285000,4600,2,2,1,1,0,0,0,1,2,0
195,5803000,7000,3,1,1,1,0,1,0,0,2,1
431,3780000,4820,3,1,2,1,0,0,0,0,0,0
496,10850000,7500,3,3,1,1,0,1,0,1,2,1
214,2450000,7700,2,1,1,1,0,0,0,0,0,0
30,4655000,3745,3,1,2,1,0,1,0,0,0,0
263,6755000,6000,4,2,4,1,0,0,0,1,0,0
165,8400000,5500,4,2,2,1,0,1,0,1,1,1
268,3920000,7260,3,2,1,1,1,1,0,0,3,0
94,2975000,4352,4,1,2,0,0,0,0,0,1,0
442,6195000,6350,3,2,3,1,1,0,0,1,0,0
303,5460000,3150,3,2,1,1,1,1,0,1,0,0
464,7343000,11440,4,1,2,1,0,1,0,0,1,1
172,5033000,4800,2,1,1,1,1,1,0,0,0,0
80,3115000,3000,3,1,1,0,0,0,0,1,0,0
432,2100000,3000,4,1,2,1,0,0,0,0,0,0
357,1960000,3420,5,1,2,0,0,0,0,0,0,0
471,6615000,4000,3,2,2,1,0,1,0,1,1,0
229,2660000,3630,3,3,2,0,1,0,0,0,0,0
198,5600000,5500,3,2,2,1,0,0,0,0,1,0
465,5250000,9800,4,2,2,1,1,0,0,0,2,0
34,3465000,3060,3,1,1,1,0,0,0,0,0,0
428,4830000,6862,3,1,2,1,0,0,0,1,2,1
327,7035000,6360,4,2,3,1,0,0,0,1,2,1
63,5320000,7800,3,1,1,1,0,1,0,1,2,1
156,3395000,4785,3,1,2,1,1,1,0,1,1,0
452,5810000,4800,3,1,3,1,0,0,0,1,0,0
403,4007500,3460,4,1,2,1,0,0,0,1,0,0
492,4900000,6720,3,1,1,1,0,0,0,0,0,0
516,4193000,8250,3,1,1,1,0,1,0,0,3,0
538,7350000,6000,3,1,2,1,0,0,0,1,1,0
507,5740000,5000,3,1,3,1,0,0,0,1,0,0
470,4620000,4160,3,1,1,1,1,1,0,1,0,0
376,2590000,3600,2,2,2,1,0,1,0,0,1,0
436,9240000,3500,4,2,2,1,0,0,1,0,2,0
290,3710000,3600,3,1,1,1,0,0,0,0,1,0
29,5950000,6525,3,2,4,1,0,0,0,0,1,0
91,5145000,7980,3,1,1,1,0,0,0,0,1,1
501,5495000,7980,3,1,1,1,0,0,0,0,2,0
59,6300000,6000,4,2,4,1,0,0,0,0,1,0
145,1750000,3620,2,1,1,1,0,0,0,0,0,0
204,3010000,5076,3,1,1,0,0,0,0,0,0,0
235,3500000,12944,3,1,1,1,0,0,0,0,0,0
483,3990000,4500,3,2,2,0,0,1,0,1,0,0
354,4760000,6321,3,1,2,1,0,1,0,1,1,0
10,2940000,3600,3,1,2,0,0,0,0,0,1,0
392,3710000,4040,2,1,1,1,0,0,0,0,0,0
397,3633000,3520,3,1,1,1,0,0,0,0,2,1
532,4200000,4079,3,1,3,1,0,0,0,0,0,0
284,4410000,4900,2,1,2,1,0,1,0,0,0,0
35,4200000,5800,3,1,1,1,0,0,1,0,2,0
148,3087000,8100,2,1,1,1,0,0,0,0,1,0
411,5530000,3650,3,2,2,1,0,0,0,0,2,0
17,4305000,4400,2,1,1,1,0,0,0,0,1,0
368,3080000,3090,2,1,1,1,1,1,0,0,0,0
519,5652500,6660,4,2,2,1,1,1,0,0,1,1
197,4095000,4040,2,1,2,1,0,0,0,0,1,0
420,3605000,4500,2,1,1,1,0,0,0,0,0,0
105,5460000,6210,4,1,4,1,1,0,0,1,0,0
13,5866000,4800,3,1,1,1,1,1,0,0,0,0
414,4767000,3420,4,2,2,1,0,0,0,0,0,0
522,5005000,8150,3,2,1,1,1,1,0,0,0,0
451,6650000,5700,3,1,1,1,1,1,0,1,2,1
129,5873000,11460,3,1,3,1,0,0,0,0,2,1
115,5110000,3000,3,1,2,1,0,1,0,0,0,0
81,5950000,7020,3,1,1,1,0,1,0,1,2,1
121,5110000,3000,3,2,2,1,1,1,0,0,0,0
189,8120000,6840,5,1,2,1,1,1,0,1,1,0
181,4550000,2550,3,1,2,1,0,1,0,0,0,0
169,4095000,5600,2,1,1,1,0,0,0,1,0,0
536,3150000,1650,3,1,2,0,0,1,0,0,0,0
499,6510000,3760,3,1,2,1,0,0,1,0,2,0
14,3045000,3800,2,1,1,1,0,0,0,0,0,0
90,3640000,3520,2,2,1,1,0,1,0,0,0,0
419,3150000,9000,3,1,2,1,0,0,0,0,2,0
370,3570000,3640,2,1,1,1,0,0,0,0,0,0
449,7490000,6600,3,1,4,1,0,0,0,1,3,1
508,4690000,4320,3,1,1,1,0,0,0,0,0,1
358,3465000,5320,2,1,1,1,0,0,0,0,1,1
281,1820000,3000,2,1,1,1,0,1,0,0,2,0
228,2450000,3000,2,1,1,1,0,0,0,0,1,0
459,6195000,5500,3,2,1,1,1,1,0,0,2,1
7,3780000,5830,2,1,1,1,0,0,0,0,2,0
389,4340000,3500,4,1,2,1,0,0,0,0,2,0
494,7140000,6000,3,2,2,1,1,0,0,0,1,0
84,4893000,4995,4,2,1,1,0,1,0,0,0,0
446,6125000,6420,3,1,3,1,0,1,0,0,0,1
9,4130000,5985,3,1,1,1,0,1,0,0,0,0
182,4620000,3880,3,2,2,1,0,1,0,0,2,0
2,2660000,2800,3,1,1,1,0,0,0,0,0,0
216,2240000,1950,3,1,1,0,0,0,1,0,0,0
219,4690000,3630,3,1,2,1,0,0,0,0,2,0
119,3010000,4600,2,1,1,1,0,0,0,0,0,0
238,3920000,3816,2,1,1,1,0,1,0,1,2,0
323,6475000,3960,3,1,1,1,0,1,0,0,2,0
222,3220000,3120,3,1,2,0,0,0,0,0,0,0
46,3430000,3185,2,1,1,1,0,0,0,0,2,0
16,4550000,3760,3,1,1,1,0,0,0,0,2,0
390,3220000,4370,3,1,2,1,0,0,0,0,0,0
378,3920000,2145,4,2,1,1,0,1,0,0,0,1
217,2233000,5300,3,1,1,0,0,0,0,1,0,1
383,3500000,5880,2,1,1,1,0,0,0,0,0,0
76,4193000,3450,3,1,2,1,0,0,0,0,1,0
502,3773000,6930,4,1,2,0,0,0,0,0,1,0
406,5250000,5500,3,2,1,1,0,1,0,0,0,0
74,4060000,4320,3,1,2,1,0,0,0,0,2,1
319,5565000,5400,5,1,2,1,1,1,0,1,0,1
396,3850000,3850,2,1,1,1,0,0,0,0,0,0
409,3150000,3500,2,1,1,0,0,1,0,0,0,0
141,3493000,4900,3,1,2,0,0,0,0,0,0,0
49,4480000,4040,3,1,2,1,0,0,0,0,1,0
47,3640000,3000,2,1,2,1,0,0,0,1,0,0
206,7980000,9000,4,2,4,1,0,0,0,1,2,0
534,7560000,6000,3,2,3,1,0,0,0,1,0,0
72,2940000,3480,3,1,2,0,0,0,0,0,1,0
427,4690000,5170,3,1,4,1,0,0,0,1,0,0
140,4900000,4120,2,1,1,1,0,1,0,0,1,0
533,3255000,4500,2,1,1,0,0,0,0,0,0,0
95,6107500,3240,4,1,3,1,0,0,0,0,1,0
367,3885000,3780,2,1,2,1,1,1,0,0,0,0
166,3640000,4130,3,2,2,1,0,0,0,0,2,0
293,4025000,3460,3,2,1,1,0,1,0,1,1,0
150,6195000,5500,3,2,4,1,1,0,0,1,1,0
339,4760000,9166,2,1,1,1,0,1,0,1,2,0
362,6090000,6600,3,1,1,1,1,1,0,0,2,1
405,6160000,5450,4,2,1,1,0,1,0,1,0,1
117,7420000,6325,3,1,4,1,0,0,0,1,1,0
102,3395000,3640,2,1,1,1,0,0,0,0,0,0
337,3640000,4280,2,1,1,1,0,0,0,1,2,0
132,4165000,4046,3,1,2,1,0,1,0,0,1,0
267,4900000,4770,3,1,1,1,1,1,0,0,0,0
477,2275000,1836,2,1,1,0,0,1,0,0,0,0
247,4270000,6360,2,1,1,1,0,0,0,0,0,0
19,5229000,7085,3,1,1,1,1,1,0,0,2,1
353,5040000,10700,3,1,2,1,1,1,0,0,0,0
410,4200000,3520,3,1,2,1,0,0,0,0,0,1
340,3640000,3180,3,1,2,0,0,1,0,0,0,0
175,7350000,5150,3,2,4,1,0,0,0,1,2,0
387,5110000,6100,3,1,1,1,0,1,0,1,0,1
425,8540000,6540,4,2,2,1,1,1,0,1,2,1
510,2835000,4350,3,1,2,0,0,0,1,0,1,0
269,6405000,4800,3,2,4,1,1,0,0,1,0,0
185,4515000,9860,3,1,1,1,0,0,0,0,0,0
493,4760000,10240,2,1,1,1,0,0,0,1,2,1
131,5075000,5720,2,1,2,1,0,0,0,1,0,1
320,4893000,3420,4,2,2,1,0,1,0,1,2,0
237,2380000,3264,2,1,1,1,0,0,0,0,0,0
407,2135000,3000,2,1,1,0,0,0,0,0,0,0
277,3430000,3850,3,1,1,1,0,0,0,0,0,0
260,3290000,2145,3,1,2,1,0,1,0,0,0,1
356,4270000,6360,2,1,2,1,0,0,0,0,0,0
257,4165000,4840,3,1,2,1,0,0,0,0,1,0
505,4025000,3630,3,2,2,1,0,0,1,0,2,0
388,3430000,1950,3,2,2,1,0,1,0,0,0,1
107,3290000,2500,2,1,1,0,0,0,0,1,0,0
408,3290000,3792,4,1,2,1,0,0,0,0,0,0
491,3605000,4000,2,1,1,1,0,0,0,0,0,1
504,4270000,4360,4,1,2,1,0,0,0,0,0,0
468,9800000,13200,3,1,2,1,0,1,0,1,2,1
487,2800000,3960,3,1,1,1,0,0,0,0,0,0
472,1890000,1700,3,1,2,1,0,0,0,0,0,0
211,5600000,5000,3,1,4,1,0,0,0,0,0,0
