,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
167,5250000,5300,4,2,1,1,0,0,0,1,0,1
396,3500000,5880,2,1,1,1,0,0,0,0,0,0
411,3395000,3640,2,1,1,1,0,0,0,0,0,0
262,4382000,4950,4,1,2,1,0,0,0,1,0,0
47,7350000,6000,4,2,4,1,1,0,0,1,1,0
308,4095000,4040,2,1,2,1,0,0,0,0,1,0
222,4690000,3630,3,1,2,1,0,0,0,0,2,0
24,8400000,5500,4,2,2,1,0,1,0,1,1,1
102,6125000,6420,3,1,3,1,0,1,0,0,0,1
332,3885000,3780,2,1,2,1,1,1,0,0,0,0
534,1820000,3000,2,1,1,1,0,1,0,0,2,0
43,7455000,4300,3,2,2,1,0,1,0,0,1,0
505,2520000,3180,3,1,1,0,0,0,0,0,0,0
414,3360000,4120,2,1,2,1,0,0,0,0,0,0
195,4900000,4095,3,1,2,0,1,1,0,1,0,0
65,6790000,4000,3,2,2,1,0,1,0,1,0,1
214,4795000,8100,4,1,4,1,0,1,0,1,2,0
349,3773000,8250,3,1,1,1,0,0,0,0,2,0
100,6160000,4500,3,1,4,1,0,0,0,1,0,0
91,6300000,9000,3,1,1,1,0,1,0,0,1,1
489,2730000,4000,3,1,2,1,0,0,0,0,1,0
173,5215000,3180,3,2,2,1,0,0,0,0,2,0
516,2380000,2475,3,1,2,1,0,0,0,0,0,0
422,3325000,4040,2,1,1,1,0,0,0,0,1,0
223,4690000,9667,4,2,2,1,1,1,0,0,1,0
425,3290000,3180,4,1,2,1,0,1,0,1,0,0
116,5950000,7231,3,1,2,1,1,1,0,1,0,1
381,3500000,4240,3,1,2,1,0,0,0,1,0,0
107,6083000,4300,6,2,2,1,0,0,0,0,0,0
537,1750000,2910,3,1,1,0,0,0,0,0,0,0
269,4319000,4032,2,1,1,1,0,1,0,0,0,0
184,5040000,7600,4,1,2,1,0,0,0,1,2,0
359,3703000,5450,2,1,1,1,0,0,0,0,0,0
238,4550000,5320,3,1,2,1,1,1,0,0,0,1
146,5565000,5400,5,1,2,1,1,1,0,1,0,1
212,4830000,4815,2,1,1,1,0,0,0,1,0,1
515,2408000,3635,2,1,1,0,0,0,0,0,0,0
536,1750000,3620,2,1,1,1,0,0,0,0,0,0
249,4480000,5885,2,1,1,1,0,0,0,1,1,0
193,4907000,4200,3,1,2,1,0,0,0,0,1,0
7,9800000,13200,3,1,2,1,0,1,0,1,2,1
68,6685000,6600,2,2,4,1,0,1,0,0,0,1
484,2835000,4350,3,1,2,0,0,0,1,0,1,0
253,4473000,6360,2,1,1,1,0,1,0,1,1,0
181,5110000,6100,3,1,1,1,0,1,0,1,0,1
218,4760000,10240,2,1,1,1,0,0,0,1,2,1
374,3605000,4500,2,1,1,1,0,0,0,0,0,0
345,3780000,3600,2,1,1,1,0,0,0,0,0,0
506,2520000,3000,2,1,2,1,0,0,0,0,0,0
317,4025000,5400,3,1,1,1,0,0,0,0,3,0
437,3220000,4320,3,1,1,0,0,0,0,0,1,0
210,4830000,6040,3,1,1,1,0,0,0,0,2,1
188,5005000,8150,3,2,1,1,1,1,0,0,0,0
139,5600000,5000,3,1,4,1,0,0,0,0,0,0
240,4550000,3520,3,1,1,1,0,0,0,0,0,1
394,3500000,3512,2,1,1,1,0,0,0,0,1,1
432,3255000,4500,2,1,1,0,0,0,0,0,0,0
315,4025000,3630,3,2,2,1,0,0,1,0,2,0
179,5110000,3000,3,1,2,1,0,1,0,0,0,0
512,2450000,3500,2,1,1,1,1,0,0,0,0,0
522,2275000,3970,1,1,1,0,0,0,0,0,0,0
405,3430000,2145,3,1,3,1,0,0,0,0,0,1
274,4270000,6360,2,1,2,1,0,0,0,0,0,0
194,4900000,4520,3,1,2,1,0,1,0,1,0,0
172,5229000,7085,3,1,1,1,1,1,0,0,2,1
310,4060000,5900,4,2,2,0,0,1,0,0,1,0
131,5740000,5400,4,2,2,1,0,0,0,1,2,0
78,6580000,6000,3,2,4,1,0,0,0,1,0,0
391,3500000,5900,2,1,1,1,0,0,0,0,1,0
260,4403000,4880,3,1,1,1,0,0,0,0,2,1
377,3570000,4500,4,2,2,1,0,1,0,0,2,0
192,4935000,5948,3,1,2,1,0,0,0,1,0,0
164,5250000,5500,3,2,1,1,0,1,0,0,0,0
497,2660000,4000,3,1,1,1,0,0,0,0,0,0
362,3675000,5640,2,1,1,0,0,0,0,0,0,0
303,4130000,4632,4,1,2,1,0,0,0,1,0,0
231,4620000,5010,3,1,2,1,0,1,0,0,0,0
408,3423000,4040,2,1,1,1,0,0,0,0,0,0
384,3500000,2135,3,2,2,0,0,0,0,0,0,0
358,3703000,3120,3,1,2,0,0,1,1,0,0,0
291,4200000,3640,3,2,2,1,0,1,0,0,0,0
142,5600000,6360,3,1,3,1,0,0,0,0,0,1
521,2275000,1836,2,1,1,0,0,1,0,0,0,0
1,12250000,9960,3,2,2,1,0,1,0,0,2,1
98,6195000,6350,3,2,3,1,1,0,0,1,0,0
531,1890000,1700,3,1,2,1,0,0,0,0,0,0
523,2275000,3970,3,1,2,1,0,1,0,0,0,0
154,5460000,6210,4,1,4,1,1,0,0,1,0,0
72,6650000,6500,3,2,3,1,0,0,0,1,0,1
197,4900000,5400,4,1,2,1,0,0,0,0,0,0
252,4480000,4040,3,1,2,1,0,0,0,0,1,0
280,4235000,2787,3,1,1,1,0,1,0,0,0,1
88,6300000,7200,3,2,1,1,0,1,0,1,3,0
480,2870000,6000,2,1,1,1,0,0,0,0,0,0
161,5285000,4600,2,2,1,1,0,0,0,1,2,0
157,5425000,6825,3,1,1,1,1,1,0,1,0,1
278,4270000,7770,2,1,1,1,0,0,0,0,1,0
