,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
16,8750000,4320,3,1,2,1,0,1,1,0,2,0
530,1960000,3420,5,1,2,0,0,0,0,0,0,0
0,13300000,7420,4,2,3,1,0,0,0,1,2,1
71,6650000,6420,3,2,3,1,0,0,0,1,0,1
169,5250000,9800,4,2,2,1,1,0,0,0,2,0
274,4270000,6360,2,1,2,1,0,0,0,0,0,0
252,4480000,4040,3,1,2,1,0,0,0,0,1,0
508,2485000,3000,3,1,2,0,0,0,0,0,0,0
159,5383000,6450,3,2,1,1,1,1,1,0,0,0
150,5523000,6900,3,1,1,1,1,1,0,0,0,1
51,7343000,11440,4,1,2,1,0,1,0,0,1,1
517,2380000,2787,4,2,2,1,0,0,0,0,0,0
199,4900000,6300,3,1,1,1,0,0,0,1,2,0
96,6230000,5500,3,1,3,1,0,0,0,0,1,1
42,7490000,6600,3,1,4,1,0,0,0,1,3,1
112,5950000,3700,4,1,2,1,1,0,0,1,0,0
371,3640000,2850,3,2,2,0,0,1,0,0,0,1
529,2100000,3360,2,1,1,1,0,0,0,0,1,0
390,3500000,3640,2,1,1,1,0,0,0,0,1,0
381,3500000,4240,3,1,2,1,0,0,0,1,0,0
482,2852500,5200,4,1,3,1,0,0,0,0,0,0
26,8400000,7000,3,1,4,1,0,0,0,1,2,0
157,5425000,6825,3,1,1,1,1,1,0,1,0,1
66,6755000,6000,4,2,4,1,0,0,0,1,0,0
197,4900000,5400,4,1,2,1,0,0,0,0,0,0
12,9100000,6600,4,2,2,1,1,1,0,1,1,1
466,3010000,3630,4,1,2,1,0,0,0,0,3,0
114,5950000,7020,3,1,1,1,0,1,0,1,2,1
285,4200000,2953,3,1,2,1,0,1,0,1,0,0
438,3220000,3120,3,1,2,0,0,0,0,0,0,0
333,3885000,3180,4,2,2,1,0,0,0,0,0,0
473,2940000,3660,4,1,2,0,0,0,0,0,0,0
43,7455000,4300,3,2,2,1,0,1,0,0,1,0
265,4340000,1905,5,1,2,0,0,1,0,0,0,0
439,3150000,3450,1,1,1,1,0,0,0,0,0,0
483,2835000,3300,3,1,2,0,0,0,0,0,1,0
237,4550000,2550,3,1,2,1,0,1,0,0,0,0
348,3780000,8400,2,1,1,1,0,0,0,0,1,0
478,2870000,3040,2,1,1,0,0,0,0,0,0,0
172,5229000,7085,3,1,1,1,1,1,0,0,2,1
516,2380000,2475,3,1,2,1,0,0,0,0,0,0
9,9240000,3500,4,2,2,1,0,0,1,0,2,0
420,3353000,2700,3,1,1,0,0,0,0,0,0,0
519,2345000,3640,2,1,1,1,0,0,0,0,0,0
167,5250000,5300,4,2,1,1,0,0,0,1,0,1
377,3570000,4500,4,2,2,1,0,1,0,0,2,0
62,6895000,7700,3,2,1,1,0,0,0,0,2,0
355,3710000,6020,3,1,1,1,0,0,0,0,0,0
188,5005000,8150,3,2,1,1,1,1,0,0,0,0
213,4795000,7000,3,1,2,1,0,1,0,0,0,0
425,3290000,3180,4,1,2,1,0,1,0,1,0,0
48,7350000,5150,3,2,4,1,0,0,0,1,2,0
366,3640000,3180,3,1,2,0,0,1,0,0,0,0
174,5215000,4500,4,2,1,0,0,1,0,1,2,0
200,4900000,5800,2,1,1,1,1,1,0,1,0,0
56,7070000,8880,2,1,1,1,0,0,0,1,1,0
141,5600000,5500,3,2,2,1,0,0,0,0,1,0
496,2660000,3480,2,1,1,1,0,0,0,0,1,0
453,3115000,3500,2,1,1,1,0,0,0,0,0,0
120,5943000,15600,3,1,1,1,0,0,0,1,2,0
77,6615000,10500,3,2,1,1,0,1,0,1,1,1
309,4095000,5600,2,1,1,1,0,0,0,1,0,0
324,3990000,4050,2,1,2,1,1,1,0,0,0,1
173,5215000,3180,3,2,2,1,0,0,0,0,2,0
217,4760000,6321,3,1,2,1,0,1,0,1,1,0
227,4620000,4160,3,1,1,1,1,1,0,1,0,0
166,5250000,8400,3,1,2,1,1,1,0,1,2,1
328,3920000,3290,2,1,1,1,0,0,1,0,1,0
507,2485000,4400,3,1,2,1,0,0,0,0,0,0
106,6090000,8372,3,1,3,1,0,0,0,1,2,0
345,3780000,3600,2,1,1,1,0,0,0,0,0,0
527,2100000,2400,3,1,2,1,0,0,0,0,0,0
359,3703000,5450,2,1,1,1,0,0,0,0,0,0
232,4613000,4510,4,2,2,1,0,1,0,0,0,0
454,3087000,8100,2,1,1,1,0,0,0,0,1,0
368,3640000,3520,2,2,1,1,0,1,0,0,0,0
455,3080000,4960,2,1,1,1,0,1,0,1,0,0
144,5600000,5136,3,1,2,1,1,1,0,1,0,1
20,8575000,8800,3,2,2,1,0,0,0,1,2,0
132,5740000,4640,4,1,2,1,0,0,0,0,1,0
267,4340000,3500,4,1,2,1,0,0,0,0,2,0
158,5390000,6710,3,2,2,1,1,1,0,0,1,1
284,4200000,2610,4,3,2,0,0,0,0,0,0,0
279,4235000,6650,3,1,2,1,1,0,0,0,0,0
137,5600000,10500,4,2,2,1,0,0,0,0,1,0
14,8890000,4600,3,2,2,1,1,0,0,1,2,0
264,4340000,4500,3,2,3,1,0,0,1,0,1,0
146,5565000,5400,5,1,2,1,1,1,0,1,0,1
102,6125000,6420,3,1,3,1,0,1,0,0,0,1
163,5250000,6540,4,2,2,0,0,0,0,1,0,0
448,3143000,4500,3,1,2,1,0,0,0,1,0,0
44,7420000,7440,3,2,1,1,1,1,0,1,0,1
299,4193000,3450,3,1,2,1,0,0,0,0,1,0
243,4543000,4990,4,2,2,1,1,1,0,0,0,1
502,2590000,4400,2,1,1,1,0,0,0,0,0,0
212,4830000,4815,2,1,1,1,0,0,0,1,0,1
463,3010000,4600,2,1,1,1,0,0,0,0,0,0
3,10850000,7500,3,3,1,1,0,1,0,1,2,1
204,4900000,4646,3,1,2,1,1,1,0,0,2,0
256,4445000,3750,2,1,1,1,1,1,0,0,0,0
428,3290000,3792,4,1,2,1,0,0,0,0,0,0
15,8855000,6420,3,2,2,1,0,0,0,1,1,1
139,5600000,5000,3,1,4,1,0,0,0,0,0,0
511,2450000,3000,2,1,1,1,0,0,0,0,1,0
140,5600000,10500,2,1,1,1,0,0,0,0,1,0
4,10150000,16200,5,3,2,1,0,0,0,0,0,0
385,3500000,3036,3,1,2,1,0,1,0,0,0,0
407,3430000,1950,3,2,2,1,0,1,0,0,0,1
104,6090000,6615,4,2,2,1,1,0,1,0,1,0
360,3675000,3630,2,1,1,1,0,1,0,0,0,0
336,3850000,7152,3,1,2,1,0,0,0,1,0,0
290,4200000,4600,3,2,2,1,0,0,0,1,1,0
434,3234000,3640,4,1,2,1,0,1,0,0,0,0
298,4193000,8250,3,1,1,1,0,1,0,0,3,0
118,5950000,7320,4,2,2,1,0,0,0,0,0,0
246,4515000,9860,3,1,1,1,0,0,0,0,0,0
342,3815000,3150,2,2,1,0,0,1,0,0,0,0
468,2975000,4352,4,1,2,0,0,0,0,0,1,0
82,6475000,3960,3,1,1,1,0,1,0,0,2,0
18,8645000,8050,3,1,1,1,1,1,0,1,1,0
288,4200000,4000,4,2,2,0,0,0,0,0,0,0
181,5110000,6100,3,1,1,1,0,1,0,1,0,1
295,4200000,3520,3,1,2,1,0,0,0,0,0,1
465,3010000,3750,3,1,2,1,0,0,0,0,0,0
47,7350000,6000,4,2,4,1,1,0,0,1,1,0
161,5285000,4600,2,2,1,1,0,0,0,1,2,0
147,5530000,3300,3,3,2,1,0,1,0,0,0,0
19,8645000,4560,3,2,2,1,1,1,0,1,1,0
259,4403000,2880,3,1,2,1,0,0,0,0,0,1
525,2233000,5300,3,1,1,0,0,0,0,1,0,1
418,3360000,3100,3,1,2,0,0,1,0,0,0,0
370,3640000,4130,3,2,2,1,0,0,0,0,2,0
185,5040000,10700,3,1,2,1,1,1,0,0,0,0
46,7420000,6325,3,1,4,1,0,0,0,1,1,0
421,3332000,2145,3,1,2,1,0,1,0,0,0,1
498,2653000,3185,2,1,1,1,0,0,0,1,0,0
154,5460000,6210,4,1,4,1,1,0,0,1,0,0
281,4200000,5500,3,1,2,1,0,0,0,1,0,0
222,4690000,3630,3,1,2,1,0,0,0,0,2,0
506,2520000,3000,2,1,2,1,0,0,0,0,0,0
262,4382000,4950,4,1,2,1,0,0,0,1,0,0
195,4900000,4095,3,1,2,0,1,1,0,1,0,0
395,3500000,9500,3,1,2,1,0,0,0,0,3,1
225,4690000,4320,3,1,1,1,0,0,0,0,0,1
240,4550000,3520,3,1,1,1,0,0,0,0,0,1
54,7210000,6000,3,2,4,1,1,0,0,1,1,0
233,4585000,4000,3,1,2,1,0,0,0,0,1,0
432,3255000,4500,2,1,1,0,0,0,0,0,0,0
431,3290000,5880,3,1,1,1,0,0,0,0,1,0
282,4200000,5040,3,1,2,1,0,1,0,1,0,0
350,3773000,2520,5,2,1,0,0,1,0,1,1,0
223,4690000,9667,4,2,2,1,1,1,0,0,1,0
85,6440000,5000,3,1,2,1,0,0,0,1,0,0
