,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
368,3640000,3520,2,2,1,1,0,1,0,0,0,0
249,4480000,5885,2,1,1,1,0,0,0,1,1,0
250,4480000,4000,3,1,2,1,0,0,0,0,2,0
398,3493000,4900,3,1,2,0,0,0,0,0,0,0
356,3710000,4050,2,1,1,1,0,0,0,0,0,0
203,4900000,6720,3,1,1,1,0,0,0,0,0,0
456,3080000,2160,3,1,2,0,0,1,0,0,0,0
71,6650000,6420,3,2,3,1,0,0,0,1,0,1
131,5740000,5400,4,2,2,1,0,0,0,1,2,0
29,8120000,6840,5,1,2,1,1,1,0,1,1,0
519,2345000,3640,2,1,1,1,0,0,0,0,0,0
209,4830000,4160,3,1,3,1,0,0,0,0,0,0
32,7980000,9000,4,2,4,1,0,0,0,1,2,0
464,3010000,5076,3,1,1,0,0,0,0,0,0,0
216,4760000,9166,2,1,1,1,0,1,0,1,2,0
513,2450000,4840,2,1,2,1,0,0,0,0,0,0
310,4060000,5900,4,2,2,0,0,1,0,0,1,0
6,9800000,5750,3,2,4,1,1,0,0,1,1,1
471,2940000,4960,2,1,1,1,0,0,0,0,0,0
352,3745000,3480,2,1,1,1,0,0,0,0,0,1
514,2450000,7700,2,1,1,1,0,0,0,0,0,0
108,6083000,9620,3,1,1,1,0,1,0,0,2,1
194,4900000,4520,3,1,2,1,0,1,0,1,0,0
259,4403000,2880,3,1,2,1,0,0,0,0,0,1
403,3430000,3185,2,1,1,1,0,0,0,0,2,0
530,1960000,3420,5,1,2,0,0,0,0,0,0,0
168,5250000,3800,3,1,2,1,1,1,0,0,1,1
468,2975000,4352,4,1,2,0,0,0,0,0,1,0
151,5495000,2817,4,2,2,0,1,1,0,0,1,0
518,2380000,3264,2,1,1,1,0,0,0,0,0,0
171,5243000,6050,3,1,1,1,0,1,0,0,0,1
196,4900000,4120,2,1,1,1,0,1,0,0,1,0
509,2450000,3210,3,1,2,1,0,1,0,0,0,0
497,2660000,4000,3,1,1,1,0,0,0,0,0,0
515,2408000,3635,2,1,1,0,0,0,0,0,0,0
55,7140000,6000,3,2,2,1,1,0,0,0,1,0
504,2520000,2880,3,1,1,0,0,0,0,0,0,0
179,5110000,3000,3,1,2,1,0,1,0,0,0,0
478,2870000,3040,2,1,1,0,0,0,0,0,0,0
445,3150000,6750,2,1,1,1,0,0,0,0,0,0
314,4060000,4320,3,1,2,1,0,0,0,0,2,1
24,8400000,5500,4,2,2,1,0,1,0,1,1,1
333,3885000,3180,4,2,2,1,0,0,0,0,0,0
492,2660000,2000,2,1,2,1,0,0,0,0,0,0
11,9100000,6000,4,1,2,1,0,1,0,0,2,0
217,4760000,6321,3,1,2,1,0,1,0,1,1,0
373,3633000,3520,3,1,1,1,0,0,0,0,2,1
276,4270000,2175,3,1,2,0,1,1,0,1,0,0
69,6650000,4040,3,1,2,1,0,1,1,0,1,0
206,4893000,3420,4,2,2,1,0,1,0,1,2,0
273,4270000,6360,2,1,1,1,0,0,0,0,0,0
501,2590000,3600,2,1,1,1,0,0,0,0,0,0
74,6650000,6000,3,2,3,1,1,0,0,1,0,0
33,7962500,6000,3,1,4,1,1,0,0,1,2,0
215,4767000,3420,4,2,2,1,0,0,0,0,0,0
448,3143000,4500,3,1,2,1,0,0,0,1,0,0
289,4200000,2325,3,1,2,0,0,0,0,0,0,0
323,3990000,3960,3,1,2,1,0,0,0,0,0,0
16,8750000,4320,3,1,2,1,0,1,1,0,2,0
311,4060000,4992,3,2,2,1,0,0,0,0,2,0
408,3423000,4040,2,1,1,1,0,0,0,0,0,0
280,4235000,2787,3,1,1,1,0,1,0,0,0,1
392,3500000,3120,3,1,2,1,0,0,0,0,1,0
161,5285000,4600,2,2,1,1,0,0,0,1,2,0
505,2520000,3180,3,1,1,0,0,0,0,0,0,0
146,5565000,5400,5,1,2,1,1,1,0,1,0,1
313,4060000,3000,4,1,3,1,0,1,0,1,2,0
322,3990000,4500,3,2,2,0,0,1,0,1,0,0
325,3920000,7260,3,2,1,1,1,1,0,0,3,0
39,7560000,6000,4,2,4,1,0,0,0,1,1,0
177,5145000,7980,3,1,1,1,0,0,0,0,1,1
12,9100000,6600,4,2,2,1,1,1,0,1,1,1
145,5565000,4400,4,1,2,1,0,0,0,1,2,1
159,5383000,6450,3,2,1,1,1,1,1,0,0,0
370,3640000,4130,3,2,2,1,0,0,0,0,2,0
439,3150000,3450,1,1,1,1,0,0,0,0,0,0
149,5530000,6100,3,2,1,1,0,1,0,0,2,1
252,4480000,4040,3,1,2,1,0,0,0,0,1,0
455,3080000,4960,2,1,1,1,0,1,0,1,0,0
245,4515000,3450,3,1,2,1,0,1,0,0,1,0
